,,,
Silver - Core Baseline Package ,,,
Level of Support,Description,Can we deliver today ,
Standard Support L1 & L2,"Access to Level 1 and Level 2 support for functional queries, configuration assistance, and standard issue resolution.",Y,
Standard SLA – Business Hours,Issues are handled in line with standard response and resolution targets during agreed business hours.,Y,
Access to knowledge base and standard documentation (Excludes SDK Support),Full access to SpecTec’s knowledge base and standard product documentation to support self-service and operational guidance.,Y,
,,,
,SDK and advanced technical documentation are excluded.,,
Basic Incident RCA (On Request) for P1 and P2 Incidents only,"High-level root cause analysis provided for Priority 1 and Priority 2 incidents upon request, focused on identifying immediate causes and corrective actions.",Y,
Standard Upgrade Support,"Support during standard product upgrades, including guidance on upgrade processes and validation of successful completion. ",Y,
,"Please note this is support with Upgrades and not SpecTec completing the upgrade. Upgrade execution, testing, and validation activities require a Professional Services engagement",,
,,,
,,,
Annual Service Review (Light-touch),"An annual review focused on overall support performance, key incidents, and high-level service observations.",Y,
Contact Channel – Email & Portal Support,Customers can log and track support requests via email and the customer support portal.,Y,
,,,
Gold - Core Baseline Package ,,,
Level of Support,Description,Can we deliver today ,Notes 
Everything in Silver,Includes all services and entitlements provided within the Silver – Baseline Support package.,Y,
,,,
,+ SDK Support and Technical documentation. ,,
Priority Support – Gold SLA Package,Incidents are prioritised ahead of standard support queues and handled in line with the enhanced Gold SLA response and resolution targets.,Y,
,,,
Named Customer Success Manager ,"A dedicated Customer Success Manager who acts as the primary point of accountability, coordinating support, service reviews, adoption, and value realisation activities.",Y,
,,,
Proactive Incident trend and RCA Review ,"Regular analysis of incident trends and root causes to identify recurring issues, systemic risks, and improvement opportunities, with recommended corrective actions.",Y,
,,,
Quarterly Service Reviews (QBRs),"Structured quarterly reviews covering support performance, incident trends, adoption metrics, and service improvement recommendations.",Y,
,,,
Adoption and usage insights ,"Access to insights on system usage and adoption patterns to help identify gaps, optimisation opportunities, and areas for improvement.",Y,Need to review health check results and potential partner with Zuizo on data usage 
,,,
Support for Quick Consultancy Scoping (5 Days Support) ,"Assistance in identifying and scoping short, targeted consultancy engagements to address configuration, adoption, or process improvement needs.",Y,
,"Quick Consultancy days must be pre-scoped, scheduled, and agreed in advance and are not intended for large-scale configuration or delivery activities.",,
,,,
,,,
,,,
"Contact Channels – Email, Portal, Chatbot and Phone Calls for P1 and P2 Incidents ","Support requests can be raised via email, customer portal, and chatbot, with phone support available for Priority 1 and Priority 2 incidents.",N ,Capability not yet established in Freshdesk. 
,,,
Platinum - Core Baseline Package ,,,
Level of Support,Description,Can we deliver today ,Notes 
Everything in Gold,Includes all services and entitlements provided within the Gold – Proactive & Priority Support package.,Y,Yes - Minus Contact channels as not yet setup in freshdesk. 
Premium SLA & escalation handling,"All incidents are handled in line with premium response and resolution targets, with priority queueing and direct escalation paths supported by senior operational leadership.",Y,
,,,
Dedicated Success & Delivery oversight,"Dedicated senior Customer Success and Delivery oversight providing end-to-end accountability across support, service delivery, and customer outcomes.",Y ,
,,,
Predictive support & trend analytics,"Proactive analysis of support incidents, system usage, and operational trends to identify and mitigate potential issues before they impact operations.",Y,Need to review health check results and potential partner with Zuizo on data usage 
,"Please note – This is where data and platform maturity allows, SpecTec will be committed in supporting any improvement activities and consultancy in driving the right improvements. This is a progressive capability as we work together in partnership. ",,
,,,
,,,
APM data insight reviews (quarterly) ,"Regular reviews of Application Performance Management data to identify improvement opportunities, optimise maintenance strategies, and support predictive outcomes.",Y,Need to review health check results and potential partner with Zuizo on data usage 
,"Please note – This is where data and platform maturity allows, SpecTec will be committed in supporting any improvement activities and consultancy in driving the right improvements. This is a progressive capability as we work together in partnership.",,
,,,
,,,
Support for Quick Consultancy (15 Days),"Includes up to fifteen days of targeted consultancy support focused on configuration optimisation, adoption improvement, data quality, or process enhancement. Consultancy Days are required to be scheduled and planned. ",Y ,
,,,
X2 Annual Health Check included,"A comprehensive system health check assessing configuration, data quality, usage, and performance, with clear recommendations and prioritised actions. Consultancy Days are required to be scheduled and planned.",Y ,
,,,
Executive-level QBRs,"Executive-level Quarterly Business Reviews focused on strategic alignment, service performance, value realisation, and forward-looking planning.",Y ,
Priority access to COE training & new features,"Priority access to AMOS Centre of Excellence training programmes, certification pathways, and early access to selected new features and enhancements.",N ,"Not ready and will not be available until 2026, could offer a selection of training days until COE is ready. "
Advisory-led roadmap & optimisation planning,"Ongoing advisory support to define and refine a tailored AMOS roadmap, ensuring continuous optimisation aligned to operational and business objectives.",Y,Yes should be done in line with TAM 
,,,
"Contact Channels – Email, Portal, Chatbot and Phone Calls for all support","Full access to all support channels, including phone support for all incident priorities, ensuring rapid engagement and resolution when required.",N ,Capability not yet established in Freshdesk. 
